session_id,model_family,n_steps,full_loop,def4,decomposed,contaminated,k_dagger,Q0,Q_final,Q_drop,R_Q_corr,rq_trace
Qwen~2.5:72b_011,Qwen~2.5:72b,7,0,0,0,1,1.0,0.818242,0.789355,-0.028886999999999996,-0.790569415042095,"[{""k"": 1, ""R"": 0.3333333333333333, ""Q"": 0.809976, ""Q0"": 0.818242, ""dQ"": -0.008265999999999996}, {""k"": 2, ""R"": 0.3333333333333333, ""Q"": 0.810206, ""Q0"": 0.818242, ""dQ"": -0.008036000000000043}, {""k"": 3, ""R"": 0.3333333333333333, ""Q"": 0.831398, ""Q0"": 0.818242, ""dQ"": 0.013155999999999946}, {""k"": 4, ""R"": 0.3333333333333333, ""Q"": 0.835901, ""Q0"": 0.818242, ""dQ"": 0.01765899999999998}, {""k"": 5, ""R"": 0.3333333333333333, ""Q"": 0.806976, ""Q0"": 0.818242, ""dQ"": -0.011265999999999998}, {""k"": 6, ""R"": 0.5, ""Q"": 0.794854, ""Q0"": 0.818242, ""dQ"": -0.023388000000000075}, {""k"": 7, ""R"": 0.5, ""Q"": 0.789355, ""Q0"": 0.818242, ""dQ"": -0.028886999999999996}]"
Qwen~2.5:72b_012,Qwen~2.5:72b,10,1,1,1,1,1.0,0.853317,0.673926,-0.17939099999999997,-0.8842048302391148,"[{""k"": 1, ""R"": 0.3333333333333333, ""Q"": 0.843427, ""Q0"": 0.853317, ""dQ"": -0.009889999999999954}, {""k"": 2, ""R"": 0.3333333333333333, ""Q"": 0.852127, ""Q0"": 0.853317, ""dQ"": -0.0011900000000000244}, {""k"": 3, ""R"": 0.3333333333333333, ""Q"": 0.833826, ""Q0"": 0.853317, ""dQ"": -0.019491000000000036}, {""k"": 4, ""R"": 0.3333333333333333, ""Q"": 0.825192, ""Q0"": 0.853317, ""dQ"": -0.028124999999999956}, {""k"": 5, ""R"": 0.3333333333333333, ""Q"": 0.858366, ""Q0"": 0.853317, ""dQ"": 0.00504899999999997}, {""k"": 6, ""R"": 0.3333333333333333, ""Q"": 0.861052, ""Q0"": 0.853317, ""dQ"": 0.007735000000000047}, {""k"": 7, ""R"": 0.5, ""Q"": 0.799665, ""Q0"": 0.853317, ""dQ"": -0.05365200000000003}, {""k"": 8, ""R"": 0.5, ""Q"": 0.782875, ""Q0"": 0.853317, ""dQ"": -0.070442}, {""k"": 9, ""R"": 0.75, ""Q"": 0.718169, ""Q0"": 0.853317, ""dQ"": -0.13514800000000005}, {""k"": 10, ""R"": 1.0, ""Q"": 0.673926, ""Q0"": 0.853317, ""dQ"": -0.17939099999999997}]"
Qwen~2.5:72b_013,Qwen~2.5:72b,7,1,1,1,1,1.0,0.830101,0.738333,-0.09176799999999996,0.3555285645684319,"[{""k"": 1, ""R"": 0.3333333333333333, ""Q"": 0.684546, ""Q0"": 0.830101, ""dQ"": -0.145555}, {""k"": 2, ""R"": 0.3333333333333333, ""Q"": 0.693688, ""Q0"": 0.830101, ""dQ"": -0.136413}, {""k"": 3, ""R"": 0.3333333333333333, ""Q"": 0.735938, ""Q0"": 0.830101, ""dQ"": -0.094163}, {""k"": 4, ""R"": 0.5, ""Q"": 0.760819, ""Q0"": 0.830101, ""dQ"": -0.06928199999999995}, {""k"": 5, ""R"": 0.5, ""Q"": 0.774807, ""Q0"": 0.830101, ""dQ"": -0.055293999999999954}, {""k"": 6, ""R"": 0.6666666666666666, ""Q"": 0.691661, ""Q0"": 0.830101, ""dQ"": -0.13844}, {""k"": 7, ""R"": 0.8333333333333334, ""Q"": 0.738333, ""Q0"": 0.830101, ""dQ"": -0.09176799999999996}]"
Qwen~2.5:72b_014,Qwen~2.5:72b,9,1,1,1,1,2.0,0.793048,0.52625,-0.266798,-0.9534073144497984,"[{""k"": 1, ""R"": 0.3333333333333333, ""Q"": 0.820224, ""Q0"": 0.793048, ""dQ"": 0.027175999999999978}, {""k"": 2, ""R"": 0.3333333333333333, ""Q"": 0.784876, ""Q0"": 0.793048, ""dQ"": -0.008171999999999957}, {""k"": 3, ""R"": 0.3333333333333333, ""Q"": 0.82834, ""Q0"": 0.793048, ""dQ"": 0.03529199999999999}, {""k"": 4, ""R"": 1.0, ""Q"": 0.570257, ""Q0"": 0.793048, ""dQ"": -0.22279099999999996}, {""k"": 5, ""R"": 1.0, ""Q"": 0.54875, ""Q0"": 0.793048, ""dQ"": -0.24429800000000002}, {""k"": 6, ""R"": 1.1666666666666667, ""Q"": 0.548842, ""Q0"": 0.793048, ""dQ"": -0.24420599999999992}, {""k"": 7, ""R"": 1.3333333333333333, ""Q"": 0.544731, ""Q0"": 0.793048, ""dQ"": -0.248317}, {""k"": 8, ""R"": 1.5, ""Q"": 0.53, ""Q0"": 0.793048, ""dQ"": -0.26304799999999995}, {""k"": 9, ""R"": 1.6666666666666667, ""Q"": 0.52625, ""Q0"": 0.793048, ""dQ"": -0.266798}]"
Qwen~2.5:72b_015,Qwen~2.5:72b,3,0,0,0,0,,0.66125,0.66125,0.0,,"[{""k"": 1, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 2, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 3, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}]"
Qwen~2.5:72b_016,Qwen~2.5:72b,7,1,1,1,1,6.0,0.66125,0.52625,-0.135,-0.40778620962482415,"[{""k"": 1, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 2, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 3, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 4, ""R"": 0.8333333333333334, ""Q"": 0.710999, ""Q0"": 0.66125, ""dQ"": 0.04974900000000004}, {""k"": 5, ""R"": 0.8333333333333334, ""Q"": 0.713998, ""Q0"": 0.66125, ""dQ"": 0.05274800000000002}, {""k"": 6, ""R"": 1.1666666666666667, ""Q"": 0.630848, ""Q0"": 0.66125, ""dQ"": -0.03040200000000004}, {""k"": 7, ""R"": 1.6666666666666667, ""Q"": 0.52625, ""Q0"": 0.66125, ""dQ"": -0.135}]"
Qwen~2.5:72b_017,Qwen~2.5:72b,8,0,0,0,1,6.0,0.66125,0.566148,-0.09510200000000002,-0.9682458365518541,"[{""k"": 1, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 2, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 3, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 4, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 5, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 6, ""R"": 1.4721666666666666, ""Q"": 0.530709, ""Q0"": 0.66125, ""dQ"": -0.13054100000000002}, {""k"": 7, ""R"": 1.4721666666666666, ""Q"": 0.535786, ""Q0"": 0.66125, ""dQ"": -0.12546400000000002}, {""k"": 8, ""R"": 1.4721666666666666, ""Q"": 0.566148, ""Q0"": 0.66125, ""dQ"": -0.09510200000000002}]"
Qwen~2.5:72b_018,Qwen~2.5:72b,11,0,0,0,1,,0.66125,0.71832,0.057069999999999954,0.9444002816030351,"[{""k"": 1, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 2, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 3, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 4, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 5, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 6, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 7, ""R"": 0.8333333333333334, ""Q"": 0.71542, ""Q0"": 0.66125, ""dQ"": 0.05416999999999994}, {""k"": 8, ""R"": 0.8333333333333334, ""Q"": 0.721874, ""Q0"": 0.66125, ""dQ"": 0.06062400000000001}, {""k"": 9, ""R"": 0.8333333333333334, ""Q"": 0.671184, ""Q0"": 0.66125, ""dQ"": 0.009933999999999998}, {""k"": 10, ""R"": 0.8333333333333334, ""Q"": 0.718762, ""Q0"": 0.66125, ""dQ"": 0.05751200000000001}, {""k"": 11, ""R"": 0.8333333333333334, ""Q"": 0.71832, ""Q0"": 0.66125, ""dQ"": 0.057069999999999954}]"
Qwen~2.5:72b_019,Qwen~2.5:72b,6,1,1,1,1,4.0,0.796861,0.673126,-0.12373500000000004,-0.9258200997725515,"[{""k"": 1, ""R"": 0.3333333333333333, ""Q"": 0.802904, ""Q0"": 0.796861, ""dQ"": 0.0060429999999999096}, {""k"": 2, ""R"": 0.3333333333333333, ""Q"": 0.812135, ""Q0"": 0.796861, ""dQ"": 0.01527400000000001}, {""k"": 3, ""R"": 0.3333333333333333, ""Q"": 0.841606, ""Q0"": 0.796861, ""dQ"": 0.044744999999999924}, {""k"": 4, ""R"": 0.6666666666666666, ""Q"": 0.708004, ""Q0"": 0.796861, ""dQ"": -0.08885700000000007}, {""k"": 5, ""R"": 0.6666666666666666, ""Q"": 0.735308, ""Q0"": 0.796861, ""dQ"": -0.06155300000000008}, {""k"": 6, ""R"": 1.0, ""Q"": 0.673126, ""Q0"": 0.796861, ""dQ"": -0.12373500000000004}]"
Qwen~2.5:72b_020,Qwen~2.5:72b,8,0,1,1,1,1.0,0.787874,0.50375,-0.28412399999999993,-0.8660254037844386,"[{""k"": 1, ""R"": 0.3333333333333333, ""Q"": 0.696951, ""Q0"": 0.787874, ""dQ"": -0.09092299999999998}, {""k"": 2, ""R"": 0.3333333333333333, ""Q"": 0.712152, ""Q0"": 0.787874, ""dQ"": -0.07572199999999996}, {""k"": 3, ""R"": 0.3333333333333333, ""Q"": 0.699915, ""Q0"": 0.787874, ""dQ"": -0.08795900000000001}, {""k"": 4, ""R"": 0.3333333333333333, ""Q"": 0.823252, ""Q0"": 0.787874, ""dQ"": 0.03537800000000002}, {""k"": 5, ""R"": 0.3333333333333333, ""Q"": 0.835043, ""Q0"": 0.787874, ""dQ"": 0.047169000000000016}, {""k"": 6, ""R"": 2.0, ""Q"": 0.50375, ""Q0"": 0.787874, ""dQ"": -0.28412399999999993}, {""k"": 7, ""R"": 2.0, ""Q"": 0.50375, ""Q0"": 0.787874, ""dQ"": -0.28412399999999993}, {""k"": 8, ""R"": 2.0, ""Q"": 0.50375, ""Q0"": 0.787874, ""dQ"": -0.28412399999999993}]"
Qwen~2.5:72b_021,Qwen~2.5:72b,7,1,1,1,1,4.0,0.66125,0.50375,-0.15749999999999997,-1.0,"[{""k"": 1, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 2, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 3, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 4, ""R"": 2.0, ""Q"": 0.50375, ""Q0"": 0.66125, ""dQ"": -0.15749999999999997}, {""k"": 5, ""R"": 2.0, ""Q"": 0.50375, ""Q0"": 0.66125, ""dQ"": -0.15749999999999997}, {""k"": 6, ""R"": 2.0, ""Q"": 0.50375, ""Q0"": 0.66125, ""dQ"": -0.15749999999999997}, {""k"": 7, ""R"": 2.0, ""Q"": 0.50375, ""Q0"": 0.66125, ""dQ"": -0.15749999999999997}]"
Qwen~2.5:72b_022,Qwen~2.5:72b,12,0,0,0,1,11.0,0.66125,0.50375,-0.15749999999999997,-1.0,"[{""k"": 1, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 2, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 3, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 4, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 5, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 6, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 7, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 8, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 9, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 10, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 11, ""R"": 2.0, ""Q"": 0.50375, ""Q0"": 0.66125, ""dQ"": -0.15749999999999997}, {""k"": 12, ""R"": 2.0, ""Q"": 0.50375, ""Q0"": 0.66125, ""dQ"": -0.15749999999999997}]"
Qwen~2.5:72b_023,Qwen~2.5:72b,9,1,1,1,1,5.0,0.66125,0.50375,-0.15749999999999997,-1.0,"[{""k"": 1, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 2, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 3, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 4, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 5, ""R"": 2.0, ""Q"": 0.50375, ""Q0"": 0.66125, ""dQ"": -0.15749999999999997}, {""k"": 6, ""R"": 2.0, ""Q"": 0.50375, ""Q0"": 0.66125, ""dQ"": -0.15749999999999997}, {""k"": 7, ""R"": 2.0, ""Q"": 0.50375, ""Q0"": 0.66125, ""dQ"": -0.15749999999999997}, {""k"": 8, ""R"": 2.0, ""Q"": 0.50375, ""Q0"": 0.66125, ""dQ"": -0.15749999999999997}, {""k"": 9, ""R"": 2.0, ""Q"": 0.50375, ""Q0"": 0.66125, ""dQ"": -0.15749999999999997}]"
Qwen~2.5:72b_024,Qwen~2.5:72b,10,0,0,0,1,4.0,0.66125,0.509375,-0.15187499999999998,-0.9999999999999998,"[{""k"": 1, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 2, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 3, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 4, ""R"": 2.0, ""Q"": 0.509375, ""Q0"": 0.66125, ""dQ"": -0.15187499999999998}, {""k"": 5, ""R"": 2.0, ""Q"": 0.509375, ""Q0"": 0.66125, ""dQ"": -0.15187499999999998}, {""k"": 6, ""R"": 2.0, ""Q"": 0.509375, ""Q0"": 0.66125, ""dQ"": -0.15187499999999998}, {""k"": 7, ""R"": 2.0, ""Q"": 0.509375, ""Q0"": 0.66125, ""dQ"": -0.15187499999999998}, {""k"": 8, ""R"": 2.0, ""Q"": 0.509375, ""Q0"": 0.66125, ""dQ"": -0.15187499999999998}, {""k"": 9, ""R"": 2.0, ""Q"": 0.509375, ""Q0"": 0.66125, ""dQ"": -0.15187499999999998}, {""k"": 10, ""R"": 2.0, ""Q"": 0.509375, ""Q0"": 0.66125, ""dQ"": -0.15187499999999998}]"
Qwen~2.5:72b_025,Qwen~2.5:72b,11,0,0,0,1,,0.66125,0.66125,0.0,,"[{""k"": 1, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 2, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 3, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 4, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 5, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 6, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 7, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 8, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 9, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 10, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 11, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}]"
Qwen~2.5:72b_026,Qwen~2.5:72b,4,1,0,1,1,,0.66125,0.677545,0.01629499999999995,0.316227766016838,"[{""k"": 1, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 2, ""R"": 0.6666666666666666, ""Q"": 0.687833, ""Q0"": 0.66125, ""dQ"": 0.026583000000000023}, {""k"": 3, ""R"": 0.6666666666666666, ""Q"": 0.693809, ""Q0"": 0.66125, ""dQ"": 0.032559000000000005}, {""k"": 4, ""R"": 1.0, ""Q"": 0.677545, ""Q0"": 0.66125, ""dQ"": 0.01629499999999995}]"
Qwen~2.5:72b_027,Qwen~2.5:72b,5,1,1,1,1,1.0,0.774903,0.643236,-0.13166699999999998,-0.6668859288553503,"[{""k"": 1, ""R"": 0.3333333333333333, ""Q"": 0.749381, ""Q0"": 0.774903, ""dQ"": -0.025522000000000045}, {""k"": 2, ""R"": 0.5, ""Q"": 0.789386, ""Q0"": 0.774903, ""dQ"": 0.014483000000000024}, {""k"": 3, ""R"": 0.5, ""Q"": 0.791941, ""Q0"": 0.774903, ""dQ"": 0.017037999999999998}, {""k"": 4, ""R"": 0.75, ""Q"": 0.702587, ""Q0"": 0.774903, ""dQ"": -0.07231600000000005}, {""k"": 5, ""R"": 1.0, ""Q"": 0.643236, ""Q0"": 0.774903, ""dQ"": -0.13166699999999998}]"
Qwen~2.5:72b_028,Qwen~2.5:72b,4,1,1,1,1,2.0,0.761429,0.558426,-0.20300300000000004,-0.9486832980505139,"[{""k"": 1, ""R"": 0.3333333333333333, ""Q"": 0.766281, ""Q0"": 0.761429, ""dQ"": 0.0048519999999999675}, {""k"": 2, ""R"": 0.6666666666666666, ""Q"": 0.749313, ""Q0"": 0.761429, ""dQ"": -0.012116000000000016}, {""k"": 3, ""R"": 0.6666666666666666, ""Q"": 0.73757, ""Q0"": 0.761429, ""dQ"": -0.023859000000000075}, {""k"": 4, ""R"": 1.0, ""Q"": 0.558426, ""Q0"": 0.761429, ""dQ"": -0.20300300000000004}]"
