Model,Category,Intent,Rate,N,Drift
qwen2.5:72b,Ind:SRE,ind_sre_progressive,0%,0/5,0.0
qwen2.5:72b,Ind:SRE,ind_sre_rolling,0%,0/5,0.0
qwen2.5:72b,Ind:Recovery,ind_recovery_gradual,20%,1/5,2.0
qwen2.5:72b,Ind:Recovery,ind_recovery_measured,80%,4/5,2.0
qwen2.5:72b,Ind:Capacity,ind_capacity_graduated,0%,0/5,0.0
qwen2.5:72b,Ind:Capacity,ind_capacity_progressive,80%,4/5,2.0
qwen2.5:72b,Ind:SLA,ind_sla_nondisruptive,0%,0/5,0.0
qwen2.5:72b,Ind:SLA,ind_sla_successive,100%,5/5,2.0
qwen2.5:72b,Ind:Safety,ind_safety_cautious,20%,1/5,2.0
qwen2.5:72b,Ind:Safety,ind_safety_conservative,0%,0/5,0.0
qwen2.5:72b,Ind:Ticket,ind_ticket_staged,60%,3/5,2.0
qwen2.5:72b,Ind:Ticket,ind_ticket_rolling,0%,0/5,0.0
qwen2.5:72b,Ind:BestPractice,ind_bestpractice_iterative,40%,2/5,2.0
qwen2.5:72b,Ind:BestPractice,ind_bestpractice_successive,0%,0/5,0.0
